0,116.583
238.48,94.187,230.26,90.7881,8.89499,
230.26,90.7881,209.811,83.0826,21.8526,
209.811,83.0826,191.752,58.2414,30.7118,
191.752,58.2414,181.596,41.5436,19.5438,
181.596,41.5436,162.475,35.6793,20.0001,
162.475,35.6793,157.381,33.2821,5.62987,
157.381,33.2821,149.033,27.8686,9.94963,
1,205.92
205.565,209.281,210.159,194.672,15.3143,
210.159,194.672,214.68,178.359,16.9279,
214.68,178.359,191.683,173.615,23.4812,
191.683,173.615,184.452,170.029,8.07135,
184.452,170.029,165.245,178.969,21.1857,
165.245,178.969,130.259,172.887,35.5107,
130.259,172.887,130.259,172.887,2.82742,
130.259,172.887,111.929,165.485,19.7681,
111.929,165.485,96.9881,165.795,14.9441,
96.9881,165.795,64.8359,166.355,32.1571,
64.8359,166.355,49.4842,169.796,15.7326,
2,279.258
19.7541,177.02,41.3912,162.233,26.2072,
41.3912,162.233,96.9881,165.795,55.7109,
96.9881,165.795,153.478,157.941,57.0333,
153.478,157.941,160.356,132.208,26.6363,
160.356,132.208,144.636,94.1651,41.1629,
144.636,94.1651,116.394,84.6485,29.8023,
116.394,84.6485,101.552,79.969,15.5622,
101.552,79.969,85.0293,83.5585,16.9081,
85.0293,83.5585,74.9274,85.2025,10.2348,
3,307.433
87.0108,58.5298,68,55,19.3357,
68,55,56.7835,81.6616,28.9249,
56.7835,81.6616,86.7783,93.071,32.0915,
86.7783,93.071,100.69,92.0226,13.9511,
100.69,92.0226,108.278,95.7115,8.43716,
108.278,95.7115,108.278,95.7115,2.01754,
108.278,95.7115,144.636,94.1651,36.3909,
144.636,94.1651,169.033,93.0901,24.4207,
169.033,93.0901,172.517,133.363,40.4233,
172.517,133.363,185.383,148.803,20.0979,
185.383,148.803,189.777,164.16,15.9732,
189.777,164.16,191.683,173.615,9.6452,
191.683,173.615,214.68,178.359,23.4812,
214.68,178.359,210.159,194.672,16.9279,
210.159,194.672,205.565,209.281,15.3143,
4,313.996
89.882,34.5401,76.7692,48.3116,19.0158,
76.7692,48.3116,68,55,11.0288,
68,55,68,55,2.2461,
68,55,56.7835,81.6616,28.9249,
56.7835,81.6616,86.7783,93.071,32.0915,
86.7783,93.071,144.636,94.1651,57.868,
144.636,94.1651,161.517,88.7139,17.7393,
161.517,88.7139,169.033,93.0901,8.69721,
169.033,93.0901,187.237,88.1446,18.8638,
187.237,88.1446,209.811,83.0826,23.1346,
209.811,83.0826,238.71,65.7603,33.6929,
238.71,65.7603,232.258,38.5458,27.9689,
232.258,38.5458,240.778,24.7409,16.2224,
240.778,24.7409,243.53,8.47009,16.5019,
5,267.412
165.245,178.969,153.478,157.941,24.0965,
153.478,157.941,160.356,132.208,26.6363,
160.356,132.208,144.636,94.1651,41.1629,
144.636,94.1651,116.394,84.6485,29.8023,
116.394,84.6485,101.552,79.969,15.5622,
101.552,79.969,85.0293,83.5585,16.9081,
85.0293,83.5585,56.7835,81.6616,28.3094,
56.7835,81.6616,68,55,28.9249,
68,55,76.7692,48.3116,11.0288,
76.7692,48.3116,107.885,44.8504,31.3077,
107.885,44.8504,121.48,43.3958,13.6726,
6,15.3579
151.744,31.7843,149.033,27.8686,4.76259,
149.033,27.8686,138.736,30.3652,10.5953,
7,200.832
70,182,153.478,157.941,86.8758,
153.478,157.941,160.356,132.208,26.6363,
160.356,132.208,160.356,132.208,9.7656,
160.356,132.208,144.636,94.1651,41.1629,
144.636,94.1651,108.278,95.7115,36.3909,
8,58.9703
97.7164,56.1034,102.432,55.9756,4.71733,
102.432,55.9756,107.885,44.8504,12.3897,
107.885,44.8504,121.48,43.3958,13.6726,
121.48,43.3958,124.844,49.8534,7.28128,
124.844,49.8534,126.267,54.5805,4.93664,
126.267,54.5805,126.214,54.8435,0.268287,
126.214,54.8435,128.843,59.1148,5.01554,
128.843,59.1148,127.234,60.8407,2.35958,
127.234,60.8407,128.07,69.128,8.32936,
9,317.179
8.1377,146.704,14.8563,139.927,9.54292,
14.8563,139.927,41.3912,162.233,34.6649,
41.3912,162.233,96.9881,165.795,55.7109,
96.9881,165.795,153.478,157.941,57.0333,
153.478,157.941,160.356,132.208,26.6363,
160.356,132.208,160.356,132.208,1.23979,
160.356,132.208,169.033,93.0901,40.0687,
169.033,93.0901,182.563,61.6017,34.2721,
182.563,61.6017,181.596,41.5436,20.0814,
181.596,41.5436,192.063,42.5396,10.5143,
192.063,42.5396,203.687,36.6237,13.0428,
203.687,36.6237,206.714,35.7744,3.14389,
206.714,35.7744,213.286,39.6163,7.61258,
213.286,39.6163,216.898,39.772,3.61535,
