0,0,0,0,331.006,
221.619,113.059,225.896,108.339,6.36955,
225.896,108.339,230.26,90.7881,18.0853,
230.26,90.7881,209.811,83.0826,21.8526,
209.811,83.0826,187.237,88.1446,23.1346,
187.237,88.1446,169.033,93.0901,18.8638,
169.033,93.0901,144.636,94.1651,24.4207,
144.636,94.1651,86.7783,93.071,57.868,
86.7783,93.071,56.7835,81.6616,32.0915,
56.7835,81.6616,68,55,28.9249,
68,55,87.0108,58.5298,19.3357,
87.0108,58.5298,85.4181,51.9107,6.80802,
85.4181,51.9107,89.882,34.5401,17.935,
89.882,34.5401,107.885,44.8504,20.7463,
107.885,44.8504,131.931,46.0468,24.0757,
131.931,46.0468,131.741,49.8046,3.7626,
131.741,49.8046,137.825,52.6852,6.73149,
